RUN	computerdatabase.ProveOwner	proveowner	1606767974831	 	3.3.1
USER	Prove Ownership	1	START	1606767976521	1606767976521
USER	Prove Ownership	2	START	1606767976632	1606767976632
USER	Prove Ownership	3	START	1606767976752	1606767976752
REQUEST	1		Prove Owner	1606767976568	1606767976747	OK	 
USER	Prove Ownership	1	END	1606767976521	1606767976784
REQUEST	2		Prove Owner	1606767976633	1606767976811	OK	 
USER	Prove Ownership	2	END	1606767976632	1606767976812
REQUEST	3		Prove Owner	1606767976753	1606767976852	OK	 
USER	Prove Ownership	3	END	1606767976752	1606767976853
USER	Prove Ownership	4	START	1606767976862	1606767976862
REQUEST	4		Prove Owner	1606767976863	1606767976962	OK	 
USER	Prove Ownership	4	END	1606767976862	1606767976963
USER	Prove Ownership	5	START	1606767976972	1606767976972
REQUEST	5		Prove Owner	1606767976973	1606767977042	OK	 
USER	Prove Ownership	5	END	1606767976972	1606767977043
USER	Prove Ownership	6	START	1606767977083	1606767977083
REQUEST	6		Prove Owner	1606767977084	1606767977163	OK	 
USER	Prove Ownership	6	END	1606767977083	1606767977164
USER	Prove Ownership	7	START	1606767977194	1606767977194
REQUEST	7		Prove Owner	1606767977195	1606767977259	OK	 
USER	Prove Ownership	7	END	1606767977194	1606767977260
USER	Prove Ownership	8	START	1606767977312	1606767977312
REQUEST	8		Prove Owner	1606767977313	1606767977407	OK	 
USER	Prove Ownership	8	END	1606767977312	1606767977408
USER	Prove Ownership	9	START	1606767977421	1606767977421
REQUEST	9		Prove Owner	1606767977423	1606767977512	OK	 
USER	Prove Ownership	9	END	1606767977421	1606767977513
USER	Prove Ownership	10	START	1606767977531	1606767977531
REQUEST	10		Prove Owner	1606767977532	1606767977605	OK	 
USER	Prove Ownership	10	END	1606767977531	1606767977606
USER	Prove Ownership	11	START	1606767977642	1606767977642
REQUEST	11		Prove Owner	1606767977643	1606767977724	OK	 
USER	Prove Ownership	11	END	1606767977642	1606767977726
USER	Prove Ownership	12	START	1606767977753	1606767977753
REQUEST	12		Prove Owner	1606767977756	1606767977859	OK	 
USER	Prove Ownership	12	END	1606767977753	1606767977860
USER	Prove Ownership	13	START	1606767977862	1606767977862
REQUEST	13		Prove Owner	1606767977863	1606767977963	OK	 
USER	Prove Ownership	13	END	1606767977862	1606767977964
USER	Prove Ownership	14	START	1606767977972	1606767977972
REQUEST	14		Prove Owner	1606767977973	1606767978023	OK	 
USER	Prove Ownership	14	END	1606767977972	1606767978024
USER	Prove Ownership	15	START	1606767978082	1606767978082
REQUEST	15		Prove Owner	1606767978084	1606767978151	OK	 
USER	Prove Ownership	15	END	1606767978082	1606767978152
USER	Prove Ownership	16	START	1606767978191	1606767978191
REQUEST	16		Prove Owner	1606767978192	1606767978254	OK	 
USER	Prove Ownership	16	END	1606767978191	1606767978255
USER	Prove Ownership	17	START	1606767978312	1606767978312
REQUEST	17		Prove Owner	1606767978313	1606767978409	OK	 
USER	Prove Ownership	17	END	1606767978312	1606767978410
USER	Prove Ownership	18	START	1606767978422	1606767978422
REQUEST	18		Prove Owner	1606767978423	1606767978472	OK	 
USER	Prove Ownership	18	END	1606767978422	1606767978473
USER	Prove Ownership	19	START	1606767978532	1606767978532
REQUEST	19		Prove Owner	1606767978533	1606767978588	OK	 
USER	Prove Ownership	19	END	1606767978532	1606767978589
USER	Prove Ownership	20	START	1606767978642	1606767978642
REQUEST	20		Prove Owner	1606767978643	1606767978709	OK	 
USER	Prove Ownership	20	END	1606767978642	1606767978711
USER	Prove Ownership	21	START	1606767978752	1606767978752
REQUEST	21		Prove Owner	1606767978753	1606767978813	OK	 
USER	Prove Ownership	21	END	1606767978752	1606767978814
USER	Prove Ownership	22	START	1606767978862	1606767978862
REQUEST	22		Prove Owner	1606767978863	1606767978948	OK	 
USER	Prove Ownership	22	END	1606767978862	1606767978949
USER	Prove Ownership	23	START	1606767978973	1606767978973
REQUEST	23		Prove Owner	1606767978974	1606767979031	OK	 
USER	Prove Ownership	23	END	1606767978973	1606767979032
USER	Prove Ownership	24	START	1606767979083	1606767979083
REQUEST	24		Prove Owner	1606767979084	1606767979146	OK	 
USER	Prove Ownership	24	END	1606767979083	1606767979147
USER	Prove Ownership	25	START	1606767979193	1606767979193
REQUEST	25		Prove Owner	1606767979194	1606767979250	OK	 
USER	Prove Ownership	25	END	1606767979193	1606767979251
USER	Prove Ownership	26	START	1606767979304	1606767979304
REQUEST	26		Prove Owner	1606767979305	1606767979382	OK	 
USER	Prove Ownership	26	END	1606767979304	1606767979384
USER	Prove Ownership	27	START	1606767979413	1606767979413
REQUEST	27		Prove Owner	1606767979414	1606767979479	OK	 
USER	Prove Ownership	27	END	1606767979413	1606767979480
USER	Prove Ownership	28	START	1606767979523	1606767979523
REQUEST	28		Prove Owner	1606767979524	1606767979582	OK	 
USER	Prove Ownership	28	END	1606767979523	1606767979583
USER	Prove Ownership	29	START	1606767979642	1606767979642
REQUEST	29		Prove Owner	1606767979643	1606767979733	OK	 
USER	Prove Ownership	29	END	1606767979642	1606767979734
USER	Prove Ownership	30	START	1606767979752	1606767979752
REQUEST	30		Prove Owner	1606767979753	1606767979832	OK	 
USER	Prove Ownership	30	END	1606767979752	1606767979833
USER	Prove Ownership	31	START	1606767979861	1606767979861
USER	Prove Ownership	32	START	1606767979973	1606767979973
REQUEST	31		Prove Owner	1606767979862	1606767979985	OK	 
USER	Prove Ownership	31	END	1606767979861	1606767979986
REQUEST	32		Prove Owner	1606767979974	1606767980077	OK	 
USER	Prove Ownership	32	END	1606767979973	1606767980078
USER	Prove Ownership	33	START	1606767980083	1606767980083
REQUEST	33		Prove Owner	1606767980084	1606767980190	OK	 
USER	Prove Ownership	33	END	1606767980083	1606767980191
USER	Prove Ownership	34	START	1606767980192	1606767980192
REQUEST	34		Prove Owner	1606767980192	1606767980258	OK	 
USER	Prove Ownership	34	END	1606767980192	1606767980258
USER	Prove Ownership	35	START	1606767980302	1606767980302
REQUEST	35		Prove Owner	1606767980303	1606767980379	OK	 
USER	Prove Ownership	35	END	1606767980302	1606767980380
USER	Prove Ownership	36	START	1606767980412	1606767980412
USER	Prove Ownership	37	START	1606767980523	1606767980523
REQUEST	36		Prove Owner	1606767980413	1606767980595	OK	 
USER	Prove Ownership	36	END	1606767980412	1606767980596
USER	Prove Ownership	38	START	1606767980642	1606767980642
USER	Prove Ownership	39	START	1606767980752	1606767980752
REQUEST	37		Prove Owner	1606767980524	1606767980778	OK	 
USER	Prove Ownership	37	END	1606767980523	1606767980779
USER	Prove Ownership	40	START	1606767980863	1606767980863
USER	Prove Ownership	41	START	1606767980972	1606767980972
REQUEST	38		Prove Owner	1606767980643	1606767981033	OK	 
USER	Prove Ownership	38	END	1606767980642	1606767981034
USER	Prove Ownership	42	START	1606767981082	1606767981082
REQUEST	39		Prove Owner	1606767980753	1606767981091	OK	 
USER	Prove Ownership	39	END	1606767980752	1606767981092
USER	Prove Ownership	43	START	1606767981191	1606767981191
REQUEST	40		Prove Owner	1606767980864	1606767981204	OK	 
USER	Prove Ownership	40	END	1606767980863	1606767981205
USER	Prove Ownership	44	START	1606767981302	1606767981302
REQUEST	41		Prove Owner	1606767980973	1606767981330	OK	 
USER	Prove Ownership	41	END	1606767980972	1606767981331
REQUEST	42		Prove Owner	1606767981083	1606767981344	OK	 
USER	Prove Ownership	42	END	1606767981082	1606767981345
USER	Prove Ownership	45	START	1606767981413	1606767981413
REQUEST	43		Prove Owner	1606767981193	1606767981443	OK	 
USER	Prove Ownership	43	END	1606767981191	1606767981444
REQUEST	44		Prove Owner	1606767981303	1606767981470	OK	 
USER	Prove Ownership	44	END	1606767981302	1606767981470
REQUEST	45		Prove Owner	1606767981414	1606767981512	OK	 
USER	Prove Ownership	45	END	1606767981413	1606767981512
USER	Prove Ownership	46	START	1606767981522	1606767981522
REQUEST	46		Prove Owner	1606767981522	1606767981595	OK	 
USER	Prove Ownership	46	END	1606767981522	1606767981595
USER	Prove Ownership	47	START	1606767981632	1606767981632
REQUEST	47		Prove Owner	1606767981633	1606767981693	OK	 
USER	Prove Ownership	47	END	1606767981632	1606767981694
USER	Prove Ownership	48	START	1606767981753	1606767981753
USER	Prove Ownership	49	START	1606767981862	1606767981862
REQUEST	48		Prove Owner	1606767981754	1606767981912	OK	 
USER	Prove Ownership	48	END	1606767981753	1606767981913
REQUEST	49		Prove Owner	1606767981863	1606767981960	OK	 
USER	Prove Ownership	49	END	1606767981862	1606767981961
USER	Prove Ownership	50	START	1606767981972	1606767981972
REQUEST	50		Prove Owner	1606767981973	1606767982030	OK	 
USER	Prove Ownership	50	END	1606767981972	1606767982031
USER	Prove Ownership	51	START	1606767982082	1606767982082
