RUN	computerdatabase.ProveOwner	proveowner	1588019438784	Prove ownership 1 user/sec	3.3.1
USER	Prove Ownership	1	START	1588019440353	1588019440353
REQUEST	1		Prove Owner	1588019440402	1588019440682	OK	 
USER	Prove Ownership	1	END	1588019440353	1588019440704
USER	Prove Ownership	2	START	1588019441359	1588019441359
REQUEST	2		Prove Owner	1588019441361	1588019441454	OK	 
USER	Prove Ownership	2	END	1588019441359	1588019441455
USER	Prove Ownership	3	START	1588019442359	1588019442359
REQUEST	3		Prove Owner	1588019442360	1588019442512	OK	 
USER	Prove Ownership	3	END	1588019442359	1588019442513
USER	Prove Ownership	4	START	1588019443349	1588019443349
REQUEST	4		Prove Owner	1588019443351	1588019443466	OK	 
USER	Prove Ownership	4	END	1588019443349	1588019443467
USER	Prove Ownership	5	START	1588019444351	1588019444351
REQUEST	5		Prove Owner	1588019444353	1588019444431	OK	 
USER	Prove Ownership	5	END	1588019444351	1588019444432
USER	Prove Ownership	6	START	1588019445349	1588019445349
REQUEST	6		Prove Owner	1588019445350	1588019445434	OK	 
USER	Prove Ownership	6	END	1588019445349	1588019445435
USER	Prove Ownership	7	START	1588019446350	1588019446350
REQUEST	7		Prove Owner	1588019446351	1588019446415	OK	 
USER	Prove Ownership	7	END	1588019446350	1588019446416
USER	Prove Ownership	8	START	1588019447349	1588019447349
REQUEST	8		Prove Owner	1588019447351	1588019447418	OK	 
USER	Prove Ownership	8	END	1588019447349	1588019447419
USER	Prove Ownership	9	START	1588019448350	1588019448350
REQUEST	9		Prove Owner	1588019448351	1588019448415	OK	 
USER	Prove Ownership	9	END	1588019448350	1588019448416
USER	Prove Ownership	10	START	1588019449349	1588019449349
REQUEST	10		Prove Owner	1588019449350	1588019449430	OK	 
USER	Prove Ownership	10	END	1588019449349	1588019449433
USER	Prove Ownership	11	START	1588019450349	1588019450349
REQUEST	11		Prove Owner	1588019450350	1588019450421	OK	 
USER	Prove Ownership	11	END	1588019450349	1588019450422
USER	Prove Ownership	12	START	1588019451351	1588019451351
REQUEST	12		Prove Owner	1588019451352	1588019451416	OK	 
USER	Prove Ownership	12	END	1588019451351	1588019451417
USER	Prove Ownership	13	START	1588019452350	1588019452350
REQUEST	13		Prove Owner	1588019452351	1588019452416	OK	 
USER	Prove Ownership	13	END	1588019452350	1588019452417
USER	Prove Ownership	14	START	1588019453348	1588019453348
REQUEST	14		Prove Owner	1588019453350	1588019453417	OK	 
USER	Prove Ownership	14	END	1588019453348	1588019453418
USER	Prove Ownership	15	START	1588019454350	1588019454350
REQUEST	15		Prove Owner	1588019454351	1588019454411	OK	 
USER	Prove Ownership	15	END	1588019454350	1588019454412
USER	Prove Ownership	16	START	1588019455350	1588019455350
REQUEST	16		Prove Owner	1588019455351	1588019455417	OK	 
USER	Prove Ownership	16	END	1588019455350	1588019455418
USER	Prove Ownership	17	START	1588019456349	1588019456349
REQUEST	17		Prove Owner	1588019456350	1588019456413	OK	 
USER	Prove Ownership	17	END	1588019456349	1588019456413
USER	Prove Ownership	18	START	1588019457349	1588019457349
REQUEST	18		Prove Owner	1588019457350	1588019457416	OK	 
USER	Prove Ownership	18	END	1588019457349	1588019457417
USER	Prove Ownership	19	START	1588019458351	1588019458351
REQUEST	19		Prove Owner	1588019458352	1588019458429	OK	 
USER	Prove Ownership	19	END	1588019458351	1588019458430
USER	Prove Ownership	20	START	1588019459349	1588019459349
REQUEST	20		Prove Owner	1588019459350	1588019459484	OK	 
USER	Prove Ownership	20	END	1588019459349	1588019459486
USER	Prove Ownership	21	START	1588019460348	1588019460348
REQUEST	21		Prove Owner	1588019460349	1588019460418	OK	 
USER	Prove Ownership	21	END	1588019460348	1588019460419
USER	Prove Ownership	22	START	1588019461348	1588019461348
REQUEST	22		Prove Owner	1588019461349	1588019461408	OK	 
USER	Prove Ownership	22	END	1588019461348	1588019461409
USER	Prove Ownership	23	START	1588019462350	1588019462350
REQUEST	23		Prove Owner	1588019462352	1588019462410	OK	 
USER	Prove Ownership	23	END	1588019462350	1588019462411
USER	Prove Ownership	24	START	1588019463350	1588019463350
REQUEST	24		Prove Owner	1588019463351	1588019463412	OK	 
USER	Prove Ownership	24	END	1588019463350	1588019463413
USER	Prove Ownership	25	START	1588019464350	1588019464350
REQUEST	25		Prove Owner	1588019464352	1588019464414	OK	 
USER	Prove Ownership	25	END	1588019464350	1588019464415
USER	Prove Ownership	26	START	1588019465350	1588019465350
REQUEST	26		Prove Owner	1588019465350	1588019465410	OK	 
USER	Prove Ownership	26	END	1588019465350	1588019465411
USER	Prove Ownership	27	START	1588019466348	1588019466348
REQUEST	27		Prove Owner	1588019466349	1588019466412	OK	 
USER	Prove Ownership	27	END	1588019466348	1588019466413
USER	Prove Ownership	28	START	1588019467350	1588019467350
REQUEST	28		Prove Owner	1588019467354	1588019467416	OK	 
USER	Prove Ownership	28	END	1588019467350	1588019467417
USER	Prove Ownership	29	START	1588019468351	1588019468351
REQUEST	29		Prove Owner	1588019468352	1588019468413	OK	 
USER	Prove Ownership	29	END	1588019468351	1588019468414
USER	Prove Ownership	30	START	1588019469351	1588019469351
REQUEST	30		Prove Owner	1588019469352	1588019469414	OK	 
USER	Prove Ownership	30	END	1588019469351	1588019469415
USER	Prove Ownership	31	START	1588019470350	1588019470350
REQUEST	31		Prove Owner	1588019470350	1588019470419	OK	 
USER	Prove Ownership	31	END	1588019470350	1588019470420
USER	Prove Ownership	32	START	1588019471351	1588019471351
REQUEST	32		Prove Owner	1588019471351	1588019471397	OK	 
USER	Prove Ownership	32	END	1588019471351	1588019471397
USER	Prove Ownership	33	START	1588019472351	1588019472351
REQUEST	33		Prove Owner	1588019472351	1588019472402	OK	 
USER	Prove Ownership	33	END	1588019472351	1588019472403
USER	Prove Ownership	34	START	1588019473350	1588019473350
REQUEST	34		Prove Owner	1588019473350	1588019473409	OK	 
USER	Prove Ownership	34	END	1588019473350	1588019473409
USER	Prove Ownership	35	START	1588019474349	1588019474349
REQUEST	35		Prove Owner	1588019474350	1588019474398	OK	 
USER	Prove Ownership	35	END	1588019474349	1588019474399
USER	Prove Ownership	36	START	1588019475348	1588019475348
REQUEST	36		Prove Owner	1588019475349	1588019475396	OK	 
USER	Prove Ownership	36	END	1588019475348	1588019475397
USER	Prove Ownership	37	START	1588019476350	1588019476350
