RUN	computerdatabase.ProveOwner	proveowner	1588020005065	3 users per sec	3.3.1
USER	Prove Ownership	1	START	1588020006348	1588020006348
REQUEST	1		Prove Owner	1588020006392	1588020006473	OK	 
USER	Prove Ownership	1	END	1588020006348	1588020006508
USER	Prove Ownership	2	START	1588020006686	1588020006686
REQUEST	2		Prove Owner	1588020006686	1588020006762	OK	 
USER	Prove Ownership	2	END	1588020006686	1588020006763
USER	Prove Ownership	3	START	1588020007014	1588020007014
REQUEST	3		Prove Owner	1588020007015	1588020007095	OK	 
USER	Prove Ownership	3	END	1588020007014	1588020007096
USER	Prove Ownership	4	START	1588020007354	1588020007354
REQUEST	4		Prove Owner	1588020007356	1588020007448	OK	 
USER	Prove Ownership	4	END	1588020007354	1588020007449
USER	Prove Ownership	5	START	1588020007684	1588020007684
REQUEST	5		Prove Owner	1588020007688	1588020007774	OK	 
USER	Prove Ownership	5	END	1588020007684	1588020007775
USER	Prove Ownership	6	START	1588020008023	1588020008023
REQUEST	6		Prove Owner	1588020008024	1588020008103	OK	 
USER	Prove Ownership	6	END	1588020008023	1588020008104
USER	Prove Ownership	7	START	1588020008365	1588020008365
REQUEST	7		Prove Owner	1588020008367	1588020008432	OK	 
USER	Prove Ownership	7	END	1588020008365	1588020008433
USER	Prove Ownership	8	START	1588020008684	1588020008684
REQUEST	8		Prove Owner	1588020008685	1588020008768	OK	 
USER	Prove Ownership	8	END	1588020008684	1588020008770
USER	Prove Ownership	9	START	1588020009014	1588020009014
REQUEST	9		Prove Owner	1588020009015	1588020009087	OK	 
USER	Prove Ownership	9	END	1588020009014	1588020009088
USER	Prove Ownership	10	START	1588020009353	1588020009353
REQUEST	10		Prove Owner	1588020009354	1588020009432	OK	 
USER	Prove Ownership	10	END	1588020009353	1588020009433
USER	Prove Ownership	11	START	1588020009685	1588020009685
REQUEST	11		Prove Owner	1588020009687	1588020009760	OK	 
USER	Prove Ownership	11	END	1588020009685	1588020009761
USER	Prove Ownership	12	START	1588020010013	1588020010013
REQUEST	12		Prove Owner	1588020010014	1588020010093	OK	 
USER	Prove Ownership	12	END	1588020010013	1588020010095
USER	Prove Ownership	13	START	1588020010353	1588020010353
REQUEST	13		Prove Owner	1588020010354	1588020010441	OK	 
USER	Prove Ownership	13	END	1588020010353	1588020010444
USER	Prove Ownership	14	START	1588020010684	1588020010684
REQUEST	14		Prove Owner	1588020010685	1588020010751	OK	 
USER	Prove Ownership	14	END	1588020010684	1588020010752
