RUN	computerdatabase.ProveOwner	proveowner	1588030126469	9 per sec	3.3.1
USER	Prove Ownership	1	START	1588030127711	1588030127711
USER	Prove Ownership	2	START	1588030127804	1588030127804
USER	Prove Ownership	3	START	1588030127913	1588030127913
REQUEST	2		Prove Owner	1588030127805	1588030127934	OK	 
USER	Prove Ownership	2	END	1588030127804	1588030127972
REQUEST	1		Prove Owner	1588030127763	1588030128002	OK	 
USER	Prove Ownership	1	END	1588030127711	1588030128004
USER	Prove Ownership	4	START	1588030128044	1588030128044
REQUEST	3		Prove Owner	1588030127914	1588030128067	OK	 
USER	Prove Ownership	3	END	1588030127913	1588030128068
USER	Prove Ownership	5	START	1588030128153	1588030128153
REQUEST	4		Prove Owner	1588030128045	1588030128207	OK	 
USER	Prove Ownership	4	END	1588030128044	1588030128208
USER	Prove Ownership	6	START	1588030128263	1588030128263
REQUEST	5		Prove Owner	1588030128154	1588030128324	OK	 
USER	Prove Ownership	5	END	1588030128153	1588030128326
USER	Prove Ownership	7	START	1588030128373	1588030128373
REQUEST	6		Prove Owner	1588030128264	1588030128390	OK	 
USER	Prove Ownership	6	END	1588030128263	1588030128392
REQUEST	7		Prove Owner	1588030128374	1588030128466	OK	 
USER	Prove Ownership	7	END	1588030128373	1588030128467
USER	Prove Ownership	8	START	1588030128483	1588030128483
REQUEST	8		Prove Owner	1588030128484	1588030128547	OK	 
USER	Prove Ownership	8	END	1588030128483	1588030128548
USER	Prove Ownership	9	START	1588030128594	1588030128594
REQUEST	9		Prove Owner	1588030128595	1588030128687	OK	 
USER	Prove Ownership	9	END	1588030128594	1588030128690
USER	Prove Ownership	10	START	1588030128704	1588030128704
REQUEST	10		Prove Owner	1588030128705	1588030128804	OK	 
USER	Prove Ownership	10	END	1588030128704	1588030128805
USER	Prove Ownership	11	START	1588030128813	1588030128813
USER	Prove Ownership	12	START	1588030128924	1588030128924
REQUEST	11		Prove Owner	1588030128814	1588030129007	OK	 
USER	Prove Ownership	11	END	1588030128813	1588030129008
USER	Prove Ownership	13	START	1588030129043	1588030129043
USER	Prove Ownership	14	START	1588030129153	1588030129153
REQUEST	12		Prove Owner	1588030128925	1588030129228	OK	 
USER	Prove Ownership	12	END	1588030128924	1588030129229
USER	Prove Ownership	15	START	1588030129263	1588030129263
REQUEST	13		Prove Owner	1588030129044	1588030129356	OK	 
USER	Prove Ownership	13	END	1588030129043	1588030129357
USER	Prove Ownership	16	START	1588030129374	1588030129374
USER	Prove Ownership	17	START	1588030129485	1588030129485
REQUEST	14		Prove Owner	1588030129154	1588030129504	OK	 
USER	Prove Ownership	14	END	1588030129153	1588030129505
USER	Prove Ownership	18	START	1588030129594	1588030129594
USER	Prove Ownership	19	START	1588030129704	1588030129704
REQUEST	15		Prove Owner	1588030129264	1588030129722	OK	 
USER	Prove Ownership	15	END	1588030129263	1588030129723
USER	Prove Ownership	20	START	1588030129814	1588030129814
USER	Prove Ownership	21	START	1588030129924	1588030129924
USER	Prove Ownership	22	START	1588030130035	1588030130035
REQUEST	16		Prove Owner	1588030129375	1588030130082	OK	 
USER	Prove Ownership	16	END	1588030129374	1588030130083
USER	Prove Ownership	23	START	1588030130145	1588030130145
REQUEST	17		Prove Owner	1588030129485	1588030130174	OK	 
USER	Prove Ownership	17	END	1588030129485	1588030130176
USER	Prove Ownership	24	START	1588030130253	1588030130253
USER	Prove Ownership	25	START	1588030130363	1588030130363
USER	Prove Ownership	26	START	1588030130474	1588030130474
REQUEST	19		Prove Owner	1588030129704	1588030130510	OK	 
USER	Prove Ownership	19	END	1588030129704	1588030130511
REQUEST	18		Prove Owner	1588030129595	1588030130551	OK	 
USER	Prove Ownership	18	END	1588030129594	1588030130552
USER	Prove Ownership	27	START	1588030130584	1588030130584
REQUEST	20		Prove Owner	1588030129815	1588030130683	OK	 
USER	Prove Ownership	20	END	1588030129814	1588030130685
USER	Prove Ownership	28	START	1588030130704	1588030130704
REQUEST	21		Prove Owner	1588030129925	1588030130758	OK	 
USER	Prove Ownership	21	END	1588030129924	1588030130758
USER	Prove Ownership	29	START	1588030130814	1588030130814
REQUEST	22		Prove Owner	1588030130036	1588030130855	OK	 
USER	Prove Ownership	22	END	1588030130035	1588030130856
REQUEST	23		Prove Owner	1588030130146	1588030130881	OK	 
USER	Prove Ownership	23	END	1588030130145	1588030130882
USER	Prove Ownership	30	START	1588030130924	1588030130924
REQUEST	24		Prove Owner	1588030130254	1588030130986	OK	 
USER	Prove Ownership	24	END	1588030130253	1588030130987
REQUEST	25		Prove Owner	1588030130364	1588030131015	OK	 
USER	Prove Ownership	25	END	1588030130363	1588030131016
USER	Prove Ownership	31	START	1588030131034	1588030131034
REQUEST	26		Prove Owner	1588030130475	1588030131103	OK	 
USER	Prove Ownership	26	END	1588030130474	1588030131104
USER	Prove Ownership	32	START	1588030131143	1588030131143
REQUEST	27		Prove Owner	1588030130585	1588030131172	OK	 
USER	Prove Ownership	27	END	1588030130584	1588030131172
USER	Prove Ownership	33	START	1588030131254	1588030131254
REQUEST	28		Prove Owner	1588030130706	1588030131310	OK	 
USER	Prove Ownership	28	END	1588030130704	1588030131311
REQUEST	29		Prove Owner	1588030130815	1588030131364	OK	 
USER	Prove Ownership	34	START	1588030131363	1588030131363
USER	Prove Ownership	29	END	1588030130814	1588030131364
REQUEST	30		Prove Owner	1588030130925	1588030131444	OK	 
USER	Prove Ownership	30	END	1588030130924	1588030131445
USER	Prove Ownership	35	START	1588030131474	1588030131474
REQUEST	31		Prove Owner	1588030131035	1588030131479	OK	 
USER	Prove Ownership	31	END	1588030131034	1588030131480
USER	Prove Ownership	36	START	1588030131585	1588030131585
REQUEST	32		Prove Owner	1588030131144	1588030131616	OK	 
USER	Prove Ownership	32	END	1588030131143	1588030131617
REQUEST	33		Prove Owner	1588030131255	1588030131649	OK	 
USER	Prove Ownership	33	END	1588030131254	1588030131650
USER	Prove Ownership	37	START	1588030131704	1588030131704
REQUEST	35		Prove Owner	1588030131474	1588030131756	OK	 
USER	Prove Ownership	35	END	1588030131474	1588030131757
REQUEST	34		Prove Owner	1588030131364	1588030131797	OK	 
USER	Prove Ownership	34	END	1588030131363	1588030131798
USER	Prove Ownership	38	START	1588030131813	1588030131813
REQUEST	36		Prove Owner	1588030131587	1588030131889	OK	 
USER	Prove Ownership	36	END	1588030131585	1588030131890
USER	Prove Ownership	39	START	1588030131924	1588030131924
USER	Prove Ownership	40	START	1588030132034	1588030132034
REQUEST	37		Prove Owner	1588030131705	1588030132038	OK	 
USER	Prove Ownership	37	END	1588030131704	1588030132039
REQUEST	38		Prove Owner	1588030131814	1588030132061	OK	 
USER	Prove Ownership	38	END	1588030131813	1588030132062
USER	Prove Ownership	41	START	1588030132144	1588030132144
REQUEST	40		Prove Owner	1588030132034	1588030132163	OK	 
USER	Prove Ownership	40	END	1588030132034	1588030132164
REQUEST	39		Prove Owner	1588030131925	1588030132207	OK	 
USER	Prove Ownership	39	END	1588030131924	1588030132209
USER	Prove Ownership	42	START	1588030132254	1588030132254
REQUEST	41		Prove Owner	1588030132145	1588030132280	OK	 
USER	Prove Ownership	41	END	1588030132144	1588030132281
REQUEST	42		Prove Owner	1588030132254	1588030132344	OK	 
USER	Prove Ownership	42	END	1588030132254	1588030132344
USER	Prove Ownership	43	START	1588030132364	1588030132364
REQUEST	43		Prove Owner	1588030132365	1588030132444	OK	 
USER	Prove Ownership	43	END	1588030132364	1588030132446
USER	Prove Ownership	44	START	1588030132473	1588030132473
REQUEST	44		Prove Owner	1588030132474	1588030132559	OK	 
USER	Prove Ownership	44	END	1588030132473	1588030132560
USER	Prove Ownership	45	START	1588030132584	1588030132584
REQUEST	45		Prove Owner	1588030132585	1588030132662	OK	 
USER	Prove Ownership	45	END	1588030132584	1588030132663
USER	Prove Ownership	46	START	1588030132705	1588030132705
REQUEST	46		Prove Owner	1588030132706	1588030132788	OK	 
USER	Prove Ownership	46	END	1588030132705	1588030132789
USER	Prove Ownership	47	START	1588030132814	1588030132814
REQUEST	47		Prove Owner	1588030132814	1588030132876	OK	 
USER	Prove Ownership	47	END	1588030132814	1588030132877
USER	Prove Ownership	48	START	1588030132924	1588030132924
USER	Prove Ownership	49	START	1588030133033	1588030133033
REQUEST	48		Prove Owner	1588030132926	1588030133034	OK	 
USER	Prove Ownership	48	END	1588030132924	1588030133035
REQUEST	49		Prove Owner	1588030133034	1588030133123	OK	 
USER	Prove Ownership	49	END	1588030133033	1588030133123
USER	Prove Ownership	50	START	1588030133143	1588030133143
USER	Prove Ownership	51	START	1588030133254	1588030133254
REQUEST	50		Prove Owner	1588030133144	1588030133271	OK	 
USER	Prove Ownership	50	END	1588030133143	1588030133272
REQUEST	51		Prove Owner	1588030133254	1588030133353	OK	 
USER	Prove Ownership	51	END	1588030133254	1588030133353
USER	Prove Ownership	52	START	1588030133365	1588030133365
REQUEST	52		Prove Owner	1588030133366	1588030133421	OK	 
USER	Prove Ownership	52	END	1588030133365	1588030133422
USER	Prove Ownership	53	START	1588030133475	1588030133475
REQUEST	53		Prove Owner	1588030133476	1588030133551	OK	 
USER	Prove Ownership	53	END	1588030133475	1588030133551
USER	Prove Ownership	54	START	1588030133583	1588030133583
REQUEST	54		Prove Owner	1588030133584	1588030133690	OK	 
USER	Prove Ownership	54	END	1588030133583	1588030133690
USER	Prove Ownership	55	START	1588030133693	1588030133693
REQUEST	55		Prove Owner	1588030133694	1588030133778	OK	 
USER	Prove Ownership	55	END	1588030133693	1588030133778
USER	Prove Ownership	56	START	1588030133814	1588030133814
REQUEST	56		Prove Owner	1588030133814	1588030133877	OK	 
USER	Prove Ownership	56	END	1588030133814	1588030133878
USER	Prove Ownership	57	START	1588030133924	1588030133924
REQUEST	57		Prove Owner	1588030133926	1588030133984	OK	 
USER	Prove Ownership	57	END	1588030133924	1588030133984
